,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,trailingPE,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,priceToBook,heldPercentInsiders,shortRatio,earningsQuarterlyGrowth,shortPercentOfFloat,regularMarketPrice,forwardPE,enterpriseToEbitda,forwardEps,pegRatio,trailingAnnualDividendYield,trailingAnnualDividendRate,payoutRatio,dividendRate,fiveYearAvgDividendYield,dividendYield
DCPH,52.57,53.9,50.09557,56.17,52.57,46.840572,53.9,1.827329,52.77,,441.98083,52.77,55.67,71.11,31.37,42.66,56.17,270.693,,11.05,0.0708,0.67095,-5.148,5.0742083,0.30216,12.96,,0.100600004,53.9,-12.543625,-7.134,-4.47,-0.48,,,,,,
ELVT,2.58,2.59,1.9208572,2.6557,2.58,2.306,2.59,3.238626,2.45,6.580311,0.14449993,2.45,2.79,5.98,0.89,2.5,2.6557,0.523,0.02329,3.717,0.0066000004,0.65918,0.386,0.68334675,0.2701,0.68,0.482,0.014199999,2.59,16.933332,3.09,0.15,0.21,,,,,,
WRK,37.64,37.43,29.0225,39.24,37.64,31.216286,37.43,1.508361,35.66,12.118474,0.529392,35.66,36.64,44.39,21.5,36.11,39.24,1.066,0.04369,45.137,0.0176,0.85082,2.988,0.8022243,0.01513,1.89,-0.293,0.026300002,37.43,14.542169,6.74,2.49,-7.61,0.04210946,1.585,0.5301,0.8,3.73,0.021300001
INMB,11.59,11.6,6.7919855,12.3,11.59,10.185429,11.6,,11.33,,,11.33,11.69,24.42,2.2,11.65,12.3,,,1.99,0.026300002,0.096,-0.888,5.7135677,0.58233,1.13,,0.0382,11.6,-8.746154,,-1.3,,,,,,,
OVID,6.69,6.74,5.2315,6.9,6.69,6.609714,6.74,1.923444,6.55,,,6.55,6.8,9.4,1.8,6.35,6.9,,,0.534,0.0716,0.33278,-1.538,12.5280905,0.41026002,2.77,,0.088199995,6.74,-4.46,-3.687,-1.5,,,,,,,
VREX,12.35,12.41,17.791857,12.59,12.35,12.817286,12.41,0.979562,12.26,,0.63061243,12.26,,,10.365,12.4,12.59,1.032,-0.03036,11.959,0.1088,0.96432996,-0.607,1.0393846,0.0047299997,7.03,,0.1464,12.41,18.279411,16.82,0.68,82.33,,,,,,
SRRK,17.86,17.99,15.647572,18.17,17.86,14.632286,17.99,0.789044,16.9,,25.51221,16.9,19.5,21.92,6.95,17.05,18.17,15.408,,2.751,0.0794,0.82757,-2.175,6.6048713,0.14353,18.05,,0.1507,17.99,-7.042636,-5.035,-2.58,,,,,,,
LBRT,9.47,9.52,5.365643,9.89,9.47,7.4348574,9.52,3.444404,8.89,,0.6904363,8.89,,11.4,2.17,9.02,9.89,0.651,-0.030669998,6.285,0.040799998,0.82081,-0.68,1.433572,0.091000006,14.24,,0.0834,9.52,-13.861539,7.503,-0.65,0.27,0.015839493,0.15,0.6956,,,
CLCT,53.78,54.54,29.67,55.55,53.78,44.728287,54.54,1.685618,53.13,45.151257,6.4872723,53.13,53.81,55.58,13.26,53.67,55.55,5.353,0.13672,2.707,0.0496,0.70369005,1.19,19.848541,0.03571,4.16,-0.062,0.0509,54.54,,24.053,,,0.013015991,0.7,0.5882,0.7,5.59,0.012999999
Z,96.45,97.41,58.130535,,96.45,82.07143,97.41,1.356744,93.2,,6.064059,93.2,,,20.04,93.05,,5.048,-0.11542,17.798,0.1137,1.16765,-1.957,5.3865604,0.11946999,6.1,,,97.41,-1065.2222,-104.516,-0.09,11.48,,,,,,
