,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,trailingPE,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,priceToBook,heldPercentInsiders,shortRatio,earningsQuarterlyGrowth,shortPercentOfFloat,regularMarketPrice,forwardPE,enterpriseToEbitda,forwardEps,pegRatio,trailingAnnualDividendYield,trailingAnnualDividendRate,payoutRatio,dividendRate,fiveYearAvgDividendYield,dividendYield
SNPS,201.86,202.04,174.408,203.215,201.86,206.39743,202.04,1.148829,194.2,49.004704,8.555656,194.2,200.46,230.12,104.9,197.11,203.215,8.55,0.17875999,30.285,0.0117,0.91043997,4.039,6.5355783,0.00728,2.11,1.531,0.013300001,202.04,32.18374,39.595,6.15,2.35,,,,,,
TER,77.64,78.22,72.53871,78.68,77.64,85.06257,78.22,1.256967,75.43,22.097801,4.561588,75.43,76.79,93.44,42.87,76.2,78.68,4.299,0.22521,10.522,0.0547,0.99564004,3.456,7.258126,0.00466,6.01,0.94,0.069699995,78.22,18.85679,13.477,4.05,1.2,0.004894384,0.38,0.109799996,0.4,0.85,0.0052
BMRA,7.09,7.09,7.2764287,7.74,7.09,7.653143,7.09,-0.899665,7.09,,13.275585,7.09,7.6,23.39,2.05,7.38,7.74,10.621,-0.34949002,1.208,0.062800005,0.07422,-0.23,6.2582784,0.18831,1.47,,0.0765,7.09,18.439024,-31.265,0.41,,,,,,,
IBP,96.76,97.66,65.55857,98.575,96.76,89.38257,97.66,1.84894,95.71,35.59328,1.8283293,95.71,97.91,99.89,29.02,97.81,98.575,1.981,0.05144,9.219,0.020599999,0.73453003,2.739,10.5749,0.24832001,3.01,0.339,0.0319,97.66,19.537075,14.741,4.99,0.64,,,,,,
ZNGA,8.38,8.38,8.416857,8.48,8.38,9.122572,8.38,0.285953,8.255,,5.667929,8.255,8.45,10.69,5.63,8.44,8.48,5.074,-0.01722,1.811,0.1015,0.81095004,-0.034,4.6714525,0.07716,5.15,,0.1088,8.38,19.674417,-1478.447,0.43,1.43,,,,,,
RADA,6.21,6.18,5.4195714,6.31,6.21,6.7982855,6.18,1.052396,6.14,,4.806696,6.14,6.23,7.77,2.05,6.19,6.31,4.296,-0.00179,1.53,0.013099999,0.44269,-0.003,4.0653596,0.08212,1.83,,0.016,6.18,41.466663,196.306,0.15,,,,,,,
CABO,1771.24,1771.99,1748.6101,1785.95,1771.24,1843.0198,1771.99,0.415273,,42.59781,8.164345,,1738.8,2044.41,1031.39,0.01,1785.95,9.575,0.18776,219.864,0.017,0.83685,40.665,7.878689,0.11143,2.77,0.718,0.0249,1771.99,35.975906,20.057,48.15,2.29,0.005081186,,0.2214,,,0.0055
LAC,9.52,9.86,4.8632855,11.22,9.52,7.5722857,9.86,2.082122,9.54,22.124464,-628.4448,9.54,10.49,11.22,1.92,10.4,11.22,-502.709,,1.589,0.0509,0.1434,0.466,6.4883575,0.37366,3.01,,,9.86,,-29.547,,,,,,,,
GMAB,37.57,38.6,29.736929,38.87,37.57,36.61257,38.6,0.473493,38.075,,,38.075,,38.87,16.24,36.5,38.87,,0.54679,,0.0015,0.03997,,,,1.73,38.741,,38.6,15.787755,,2.45,,,,,,,
NEM,66.32,66.21,59.766785,66.79,66.32,66.684,66.21,0.362876,64.54,13.470025,4.8905253,64.54,64.95,72.22,,,66.79,5.348,0.36786997,27.402,0.0113,0.85926,4.804,2.3615065,0.0038,1.47,,0.0152,66.21,15.706311,12.587,4.12,0.67,0.011761158,0.78,0.1269,,0.89,0.0150999995
EDU,154.44,,130.23907,155.24,154.44,145.01743,,1.228539,151.98,59.474903,6.8487387,151.98,153.58,157.15,102.01,153.54,155.24,6.021,0.1155,17.263,0.0232,0.8621,2.59,8.92313,0.00057,3.81,-0.695,,,29.509579,42.003,5.22,1.32,,,,,,
ENTG,68.11,68.79,58.62,68.82,68.11,69.116,68.79,1.251393,65.85,39.856285,5.335439,65.85,68.68,74.28,38.12,64.55,68.82,5.66,0.13510999,9.142,0.0235,1.02182,1.67,7.280682,0.00832,4.23,-0.451,0.0274,68.79,24.83582,19.819,2.68,1.41,0.004698282,0.32,0.1916,0.32,,0.0047
AG,12.16,12.22,9.564357,12.31,12.16,12.119143,12.22,1.5,11.9,,8.090738,11.9,12.03,14.57,4.17,11.91,12.31,8.129,-0.23471001,3.075,0.15,0.35412,-0.356,3.8731706,0.113970004,3.35,,,12.22,170.14285,36.402,0.07,,,,,,,
LGIH,109.71,110.74,84.48914,111.98,109.71,113.138855,110.74,1.591973,104.7,12.684096,1.3102995,104.7,112.07,123.94,,,111.98,1.663,0.10502,36.621,0.098400004,0.86810994,8.338,2.8879607,0.11698,8.28,0.208,0.1295,110.74,10.378803,12.292,10.19,0.8,,,,,,
NTES,470.01,485.18,404.0965,486.95,470.01,477.74857,485.18,0.628762,461.8,69.88604,,461.8,477.75,517.65,252.94,,486.95,,0.36382,51.333,0.014400001,0.51657003,6.669,9.079345,0.01549,3.89,0.477,,485.18,20.677462,,22.54,99.05,0.003331844,1.566,0.4456,5.94,1.19,0.0126
PAAS,35.19,35.43,27.10057,35.708,35.19,35.202286,35.43,1.657703,34.6,221.98718,5.3265367,34.6,34.92,40.11,10.61,34.51,35.708,5.309,0.02407,11.373,0.0116,0.63511,0.156,3.044931,0.015269999,0.74,0.092,,35.43,16.56938,16.647,2.09,1.31,0.0048309183,0.17,,0.2,1.04,0.0057
MKTX,447.49,446.84,459.66287,449.4,447.49,483.9977,446.84,0.501672,437.89,63.5647,27.07767,437.89,441.15,561.68,275.5,440.48,449.4,27.429,0.42745,22.497,0.0148,0.97888,6.901,19.4986,0.03637,3.43,0.743,0.017,446.84,55.386364,48.205,7.92,3.38,0.004961005,2.22,0.32169998,2.4,0.65,0.0054
BLD,161.25,163.5,113.51693,165.5,161.25,152.23372,163.5,1.525083,159.97,26.442997,2.0313745,159.97,162.65,166.48,54.83,162.32,165.5,2.144,0.078379996,37.152,0.0214,0.99412,6.14,4.370155,0.01343,2.49,0.066,0.030199999,163.5,21.195824,15.405,7.66,1.21,,,,,,
AUPH,14.95,15.03,15.138286,15.56,14.95,14.358286,15.03,0.979651,14.9201,,6156.284,14.9201,15.51,21.93,3.52,15.4,15.56,4948.958,,2.121,0.0349,0.49677,-1.365,7.331447,0.17108,3.64,,,15.03,-28.272726,-16.415,-0.55,,,,,,,
CZZ,17.41,17.4,15.135357,17.47,17.41,18.085714,17.4,1.31884,16.73,30.507248,,16.73,16.83,23.7,8.56,16.6,17.47,,0.08366,6.129,0.012999999,0.56391,0.552,2.7475934,,3.35,-0.511,0.026199998,17.4,13.36508,,1.26,6.61,0.004250431,0.074,0.0851,0.11,,0.0064999997
AXU,2.94,2.93,2.1377144,2.99,2.94,2.868,2.93,1.248546,2.88,,,2.88,2.98,3.5,0.72,2.9,2.99,,-0.29926002,0.821,0.038599998,0.19586,-0.064,3.5931792,0.03935,2.29,,0.0399,2.93,14.04762,,0.21,,,,,,,
TAL,75.74,76.13,63.940716,76.61,75.74,76.03971,76.13,0.142697,74.435,,13.620569,74.435,75.64,83.68,33.35,74.01,76.61,12.106,-0.0035299999,4.318,0.0136,1.08293,-0.022,17.524317,0.00196,2.9,,,76.13,52.186203,154.238,1.45,2.67,,,,,,
LINC,6.65,6.57,4.1419287,6.8,6.65,6.686,6.57,0.705685,6.15,17.64543,0.6027277,6.15,6.57,8.99,1.62,6.51,6.8,0.873,0.03433,1.589,0.0074,0.71067,0.361,4.0088105,0.08826,0.6,,0.0134000005,6.57,15.536585,12.657,0.41,2.22,,,,,,
GOLD,29.14,29.2965,25.442358,29.56,29.14,29.100286,29.2965,0.297238,28.86,11.59583,4.5078926,28.86,29.35,31.22,12.65,,29.56,5.56,0.38996,12.391,0.0128999995,0.70711,2.494,2.3339522,0.014579999,1.04,0.84,,29.2965,22.076338,11.228,1.31,1.03,0.009265615,0.27,0.0913,0.32,0.94,0.011
KGC,9.35,9.68,7.0495,10.315,9.35,9.022285,9.68,1.407703,9.59,14.104373,3.341329,9.59,9.96,10.32,2.72,9.98,10.315,3.25,0.23956,4.456,0.0121,0.69651,0.709,2.2441652,0.00294,0.88,1.737,,9.68,12.195122,7.596,0.82,0.71,,,,,,
GTT,6.33,6.43,7.979786,6.61,6.33,5.366286,6.43,1.387402,6.2,,0.21630152,6.2,6.38,15.77,3.94,6.26,6.61,2.306,-0.09511,3.367,0.1974,0.95703006,-2.859,1.8592218,0.19500999,22.34,,0.24129999,6.43,-4.03871,10.452,-1.55,-0.09,,,,,,
NHTC,6.12,6.16,5.1077857,6.17,6.12,5.765143,6.16,1.183389,5.98,,1.0609934,5.98,6.97,8.28,2.52,5.8,6.17,-0.353,-0.06984,6.551,0.003,0.19633,-0.439,0.938788,0.39122,1.29,-0.914,0.005,6.16,,6.851,,,0.06535948,0.4,,0.8,,0.1313
LGND,94.15,,102.813644,95.46,94.15,107.33886,,1.451505,90.33,,11.713332,90.33,117.5,127.8,57.24,,95.46,10.182,-0.19511999,43.246,0.5607,1.47021,-1.441,2.1292143,0.048460003,39.64,,0.804,,18.791838,35.036,4.9,1.01,,,,,,
BBX,14.89,14.8,11.829143,14.97,14.89,15.325143,14.8,1.667224,14.69,,0.4032652,14.69,14.81,24.75,5.55,3.01,14.97,1.254,-0.050669998,26.703,0.0093,0.37158,-1.976,0.55873877,0.25242,4.24,,0.0146,14.8,,24.542,,-0.33,0.008394896,0.125,0.26319999,,,
CMD,47.04,47.31,42.787643,47.31,47.04,51.39,47.31,1.270345,42.275,64.37781,1.7708753,42.275,43.35,83.99,20.81,42.77,47.31,2.914,0.027509999,16.461,0.0795,1.0167199,0.667,2.60859,0.11156999,10.54,0.931,0.0892,47.31,17.966526,17.115,2.39,10.63,0.004357993,0.205,0.306,,0.22,
AXDX,11.04,11.26,11.528929,11.33,11.04,13.059714,11.26,2.565217,10.795,,61.94214,10.795,11.19,21.71,4.53,10.08,11.33,63.061,,-0.658,0.2635,0.5353,-1.5,,0.40662998,40.49,,0.4673,11.26,-9.428571,-9.689,-1.19,-0.26,,,,,,
TPL,459.42,457.635,534.8754,460.62,459.42,538.7626,457.635,1.846711,448.46,16.589031,9.79524,448.46,,838.5,295.05,415.1,460.62,9.522,0.59045,60.976,0.0178,0.4336,27.608,7.5109878,0.011460001,7.36,-0.444,0.0235,457.635,21.976486,12.305,20.84,,0.021766575,,0.36220002,,0.34,0.0218
SSNT,2.38,2.4,2.4387858,2.45,2.38,3.244857,2.4,1.002787,2.25,1.5977575,0.25767902,2.25,2.6,13.42,1.62,2.25,2.45,0.159,0.16176,1.92,0.0042,0.14908,1.427,1.1875,0.57939,0.01,,0.0099,2.4,7.862069,-8.567,0.29,,,,,,,
BEAT,,43.75,42.23357,45.47,,41.124573,43.75,1.264771,42.86,85.15095,3.7442944,42.86,45.11,55.85,27.35,39.89,45.47,3.551,0.046719998,11.228,0.1165,0.95579004,0.53,4.019416,0.028110001,12.42,-0.725,0.1857,43.75,21.388628,14.545,2.11,1.04,,,,,,
EGHT,15.19,15.22,15.923643,15.5,15.19,16.12543,15.22,0.910813,14.91,,3.5557644,14.91,15.33,23.49,10.7,15.21,15.5,3.789,-0.38189998,1.722,0.19229999,0.91245,-1.768,9.001162,0.032679997,16.5,,0.2601,15.22,,-12.42,0.05,1.06,,,,,,
ABMD,276.14,275.23,228.74557,275.94,276.14,297.61115,275.23,1.142697,260.9506,76.32307,14.962011,260.9506,,319.19,119.01,263.26,275.94,14.707,0.19882,24.461,0.0478,1.0137,3.473,10.836433,0.020350002,7.21,-0.499,0.0548,275.23,50.107754,47.931,5.29,2.6,,,,,,
SIMO,38.04,38.11,41.286144,38.15,38.04,38.392284,38.11,1.106465,37.34,15.89593,2.4964619,37.34,37.87,53.04,26.72,37.85,38.15,1.687,0.15708,16.819,0.0087,0.75221,2.383,2.2522147,,1.05,0.065,,38.11,11.949527,7.805,3.17,1.9,0.03548896,1.35,0.5625,1.4,2.26,0.0368
PLUS,74.57,75.34,69.49507,76.14,74.57,76.128,75.34,1.110367,74.605,14.325714,0.6525673,74.605,78.5,99.63,42.53,75.1,76.14,0.725,0.044970002,37.093,0.0076,0.96626,5.25,2.0276062,0.02412,2.15,0.072,0.0093,75.34,13.102788,9.511,5.74,2.86,,,,,,
LNG,50.83,50.92,45.58007,51.77,50.83,51.84143,50.92,1.615942,50.14,10.827261,1.3187584,50.14,,67.11,27.06,50.49,51.77,4.516,0.12056,1.673,0.016900001,0.95745003,4.666,30.19725,0.01045,3.35,,0.017,50.92,17.420689,9.937,2.9,4.56,,,,,,
CCF,98.91,105.8,94.564354,105.8,98.91,102.071144,105.8,0.647157,99.89,27.89431,3.7948103,99.89,109.5,127.5,,102.82,105.8,3.159,0.13174,31.032,0.0155,0.71143997,3.709,3.333978,0.22378,8.88,0.16,0.0235,105.8,,13.532,,,0.008088161,0.8,0.2156,0.8,0.86,0.0081
PATK,51.95,52.64,49.730213,53.19,51.95,59.998,52.64,2.408584,51.09,18.931578,0.6270075,51.09,51.96,69.84,16.7,51.95,53.19,0.891,0.029690001,21.036,0.0425,0.96402,2.733,2.4595933,0.06007,5.85,-0.974,0.0533,52.64,10.915612,9.902,4.74,1.56,0.014436958,0.75,0.2747,,,0.019199999
ASGN,69.05,69.54,57.338573,69.54,69.05,70.984,69.54,2.299888,67.07,19.024733,0.8984944,67.07,67.69,74.85,29.04,68.22,69.54,1.167,0.047859997,27.754,0.0173,0.94745004,3.558,2.438928,0.04182,4.14,0.132,0.020599999,69.54,14.220588,11.244,4.76,1.56,,,,,,
JBT,100.3,101.12,84.713646,101.7,100.3,101.09171,101.12,1.365105,98.54,23.190443,1.7406188,98.54,99.36,119.78,56.17,99.25,101.7,1.954,0.072,18.803,0.0626,1.0755401,4.269,5.2651176,0.02029,13.87,-0.036,0.0866,101.12,23.13084,,4.28,2.52,0.003988036,0.4,0.0937,0.4,0.48,0.004
NBIX,101.87,103.21,109.97714,103.31,101.87,112.08428,103.21,1.219063,98.67,48.940784,9.425756,98.67,,136.26,72.14,99.17,103.31,8.876,0.20365,8.918,0.0587,0.99052,2.077,11.398295,0.01043,7.68,0.552,0.059499998,103.21,19.931374,24.469,5.1,0.28,,,,,,
AGM,66.02,66.37,62.602215,66.44,66.02,67.166855,66.37,1.121516,64.78,8.329082,3.786559,64.78,68.9,88.46,40.05,65.29,66.44,128.446,0.54890996,48.333,0.013099999,0.71547997,7.84,1.3510438,0.01783,2.96,0.046,,66.37,6.6905737,,9.76,0.67,0.045440778,,0.3827,3.2,2.65,0.048499998
PGTI,18.3,18.38,14.081857,18.44,18.3,18.424286,18.38,1.43311,17.74,29.42623,1.3302344,17.74,18.74,20.1,6.88,17.32,18.44,1.788,0.045479998,7.649,0.0126,0.96959,0.61,2.346712,0.04225,1.99,-0.871,0.015700001,18.38,15.474139,11.425,1.16,5.33,,,,,,
ULTA,234.73,236.74,211.83485,238.63,234.73,222.26942,236.74,1.492196,230.07,46.778362,2.0427275,230.07,234.69,304.65,124.05,231.01,238.63,2.269,0.04413,31.44,0.048499998,0.92859,4.954,7.3708653,0.04405,2.02,-0.95,0.0571,236.74,21.477295,19.838,10.79,,,,,,,
HSKA,96.71,97.79,84.941216,100.015,96.71,101.503716,97.79,1.700668,,,6.601319,,108.75,110.9,,,100.015,6.189,-0.09679,28.683,0.0378,1.06706,-1.76,3.4452462,0.07912,6.02,,0.053000003,97.79,-308.8125,179.391,-0.32,-2.05,,,,,,
JAZZ,140.15,141.13,114.308,143.59,140.15,128.93886,141.13,1.265886,140.49,60.229202,3.5502849,140.49,141.9,154.24,86.88,141.57,143.59,3.68,0.060110003,56.654,0.0583,0.96733004,2.356,2.5046775,0.02836,5.3,-0.562,0.0598,141.13,8.502096,8.358,16.69,1.62,,,,,,
WLDN,27.52,27.88,24.638,27.9,27.52,28.136572,27.88,1.220178,27.28,,0.7646146,27.28,29.5,39.64,17.92,27.36,27.9,1.053,-0.02181,13.436,0.0543,0.90212995,-0.832,2.0586483,0.05831,14.98,,0.0579,27.88,12.459459,29.723,2.22,,,,,,,
CSII,35.06,35.36,34.686142,36.57,35.06,32.65057,35.36,1.313823,35.1,,6.0104446,35.1,35.79,55.22,,35.83,36.57,4.825,-0.11514,6.775,0.0341,0.95357,-0.795,5.2900367,0.0328,4.14,,0.0494,35.36,,-59.012,-0.04,-0.82,,,,,,
ANIK,36.69,37.19,34.154358,37.19,36.69,36.340286,37.19,1.114269,35.18,46.078186,4.1351113,35.18,46.5,75.72,22.01,,37.19,3.562,0.090299994,20.307,0.14310001,0.99609,0.793,1.7993796,0.040430002,18.63,,0.1699,37.19,30.449999,13.788,1.2,-24.46,,,,,,
GTN,15.43,15.51,13.476143,15.51,15.43,15.064285,15.51,1.887402,14.9,8.987417,0.6919894,14.9,15.06,23.07,8.53,14.54,15.51,2.604,0.10428,15.285,0.0367,0.95531,1.669,0.9813543,0.04468,5.39,-0.75,0.041300002,15.51,8.823529,8.273,1.7,0.18,,,,,,
STZ,192.21,191.17,169.27635,193.06,192.21,182.11057,191.17,0.972129,185.06,647.6207,4.421612,185.06,,210.65,104.28,187.74,193.06,5.884,0.00678,57.857,0.0298,0.85410005,0.29,3.2461069,0.09884,6.11,,0.0358,191.17,18.781,16.067,,2.78,0.015607928,,10.3448,,1.16,0.0156
ILMN,298.02,298.36,331.95193,300.91,298.02,353.23572,298.36,0.875696,290.83,63.195038,12.874664,290.83,298.5,404.2,196.78,291.2,300.91,14.835,0.2068,31.253,0.026800001,0.96208,4.676,9.455092,0.00337,4.25,-0.841,0.0306,298.36,43.0131,42.237,6.87,10.14,,,,,,
GV,4.28,4.35,3.6022856,4.54,4.28,4.264,4.35,1.528985,4.2725,13.799392,0.61370826,4.2725,4.6,4.9,2.02,4.56,4.54,0.765,0.04448,2.859,0.0017,0.36588,0.329,1.5879679,0.092209995,0.41,2.005,0.0018000001,4.35,,5.907,,,,,,,,
PRI,118.31,118.75,110.56936,118.75,118.31,126.37114,118.75,1.335005,116.01,13.350815,2.1456559,116.01,117.35,138.05,61.2,117.38,118.75,2.841,0.16865999,41.412,0.0139999995,0.90004,8.771,2.8276827,0.00913,3.36,0.042,0.018099999,118.75,11.292189,10.641,10.37,1.2,0.013016651,1.54,0.1689,1.6,1.06,0.0135
BR,133.48,133.41,120.33585,133.98,133.48,136.97029,133.41,0.866778,131.17,33.29367,3.343995,131.17,131.52,144.5,81.9,131.31,133.98,3.779,0.10212,11.699,0.0149,0.88367,3.95,11.241131,0.00661,3.19,0.253,0.0171,133.41,21.954926,18.519,5.99,2.44,0.016182201,2.16,0.5468,2.3,1.68,0.0172
ATVI,78.77,79.33,72.4265,80.64,78.77,81.91628,79.33,0.678372,78.09,34.211872,8.846483,78.09,80.68,87.73,50.25,79.66,80.64,8.071,0.25944,17.73,0.013099999,0.92221,2.341,4.5172024,0.013739999,1.39,0.768,0.013300001,79.33,23.907463,23.335,3.35,0.99,0.0052050273,0.41,0.1752,0.41,0.61,0.0052
ROST,93.88,93.89,89.43107,94.45,93.88,91.76228,93.89,0.746376,91.2,60.42567,2.5683198,91.2,94.24,124.16,56.3,88.14,94.45,2.705,0.042480003,8.054,0.01,0.90690005,1.527,11.456419,0.02145,1.36,-0.947,0.010199999,93.89,21.659622,32.901,4.26,42.48,0.0057520242,0.54,0.53,,0.91,
FONR,25.1,25.37,21.123785,25.54,25.1,25.460857,25.37,1.127647,24.95,14.414107,1.9070313,24.95,25.4,26.49,,24.9,25.54,1.881,0.14017999,19.105,0.026199998,0.54127,1.758,1.3263544,0.031489998,8.75,-0.674,0.0308,25.37,,7.782,,,,,,,,
COR,119.87,119.85,118.9925,119.85,119.87,121.82771,119.85,0.238573,116.92,59.761543,8.508299,116.92,117.92,130.56,90.07,117.84,119.85,11.481,0.12765001,2.689,0.0186,1.23005,1.971,43.80439,0.012510001,2.6,0.058,0.0242,119.85,61.03109,22.378,1.93,-14.48,0.04071077,4.88,2.4772,4.88,3.41,0.040700004
RLGT,5.57,5.6,4.210214,5.6,5.57,5.168286,5.6,1.515607,5.26,26.300001,0.33126053,5.26,5.78,5.94,3.08,5.26,5.6,0.402,0.01318,2.719,0.019,0.55426997,0.2,1.9345348,0.28015,4.4,-0.982,0.024400001,5.6,11.954546,9.651,0.44,0.54,,,,,,
AMEH,16.94,17.1,15.964571,17.6,16.94,17.714,17.1,0.463116,16.96,28.896322,0.9363223,16.96,17.1,23.26,9.27,17.5,17.6,1.28,0.03237,5.702,0.0069999998,0.0691,0.598,3.0305157,0.49466,2.47,0.987,0.019299999,17.1,18.38298,14.43,0.94,,,,,,,
IPGP,168.8,168.45,147.5605,170.2,168.8,161.70343,168.45,1.604236,166.17,70.319595,7.5380907,166.17,167.32,184.02,98.04,,170.2,6.128,0.10786,45.811,0.0223,0.68323,2.378,3.650215,0.33806,3.27,-0.471,0.0417,168.45,36.27332,23.561,4.61,2.64,,,,,,
SSNC,60.93,61.37,55.04914,61.48,60.93,61.56,61.37,1.514492,,31.805336,3.3600273,,60.8,66.74,29.51,60.8,61.48,4.819,0.10845,20.62,0.0143,0.81999,1.911,2.9476235,0.12626,3.09,0.4,0.0163,61.37,14.036951,13.093,4.33,0.83,0.007795831,0.475,0.24870001,0.56,0.7,0.0092
URI,180.78,180.06,138.49657,181.44,180.78,175.31258,180.06,2.371794,173.59,11.8239155,1.4099189,173.59,176.51,186.78,58.85,177.17,181.44,2.617,0.12367,54.205,0.09729999,0.97669,14.902,3.2506225,0.00542,9.14,-0.215,0.1107,180.06,10.685264,9.528,16.49,-5.51,,,,,,
BSX,39.67,39.6,36.418358,39.99,39.67,39.783142,39.6,0.952062,38.39,13.621239,5.420122,38.39,38.46,46.62,24.1,38.01,39.99,6.47,0.39234,10.926,0.0104,0.95348,2.825,3.5218744,0.00243,2.34,,0.0104,39.6,23.180723,29.428,1.66,4.6,,,,,,
AMN,57.19,57.74,52.539856,58.19,57.19,54.215427,57.74,0.608138,56.425,31.807692,1.1500068,56.425,,89.22,36.65,57.72,58.19,1.496,0.03648,16.547,0.0298,1.0132099,1.82,3.4985192,0.01118,3.1,-0.227,0.041500002,57.74,18.204401,13.532,3.18,2.13,,,,,,
LYV,58.56,58.42,46.852356,58.76,58.56,53.719143,58.42,1.182831,56.51,,1.5280147,56.51,57.88,76.6,21.7,57.1,58.76,1.971,-0.090500005,1.612,0.076799996,0.77458,-3.768,35.3536,0.2697,7.21,,0.1163,58.42,-34.12575,-173.095,-1.67,-0.1,,,,,,
RDNT,15.84,16.01,14.867179,16.14,15.84,16.003714,16.01,1.537904,15.35,,0.76370203,15.35,15.87,23.45,5.81,15.5,16.14,1.814,-0.01224,2.867,0.024300002,0.74763,-0.266,5.535403,0.17614001,5.87,,0.0339,16.01,32.387753,16.575,0.49,-2.16,,,,,,
EA,125.26,125.49,122.72357,126.68,125.26,137.29343,125.49,0.869565,123.39,18.616,6.601799,123.39,,147.36,85.69,124.96,126.68,5.472,0.34265998,26.95,0.0185,0.95515996,6.763,4.671614,0.00448,2.85,-0.743,0.0185,125.49,21.159664,19.17,5.95,1.59,,,,,,
IONS,51.29,51.39,54.813927,51.66,51.29,53.889427,51.39,1.51282,50.12,56.10262,7.6333823,50.12,52.05,66.22,39.32,50.05,51.66,6.31,0.13877,9.873,0.0544,0.8793,0.916,5.205105,0.050100002,11.19,,0.0647,51.39,-91.76785,35.511,-0.56,-1.25,,,,,,
KAI,118.5,119.06,96.65128,120.26,118.5,115.84829,119.06,1.425306,114.19,27.02188,1.9771428,114.19,114.99,127.16,52.71,114.53,120.26,2.293,0.07334,38.161,0.028299998,1.02667,4.251,3.0101414,0.02,8.14,-0.288,0.033099998,119.06,22.435549,13.804,5.12,3.38,0.00793249,0.94,0.2188,0.94,1.1,0.007900001
MU,50.98,51.5,47.02064,52.17,50.98,46.968285,51.5,1.343924,49.97,25.484682,2.7839472,49.97,50.75,61.19,31.13,50.67,52.17,2.466,0.11161,34.011,0.0296,0.82306,1.991,1.4918703,0.00242,1.77,-0.044,0.0297,51.5,12.4362755,6.299,4.08,-0.93,,,,,,
ISDR,15.85,16.02,11.770714,16.22,15.85,16.626,16.02,1.019509,15.66,48.932922,3.6263983,15.66,16.5,18.78,8.65,15.8,16.22,2.928,0.07507,7.09,0.0019,0.37188,0.328,2.2637515,0.24537,0.14,2.642,0.0025,16.02,17.258064,21.895,0.93,,,,,,,
AJRD,39.99,40.15,41.29007,40.34,39.99,41.860573,40.15,0.331103,39.79,26.37139,1.5852053,39.79,40.79,57.27,34.01,40.29,40.34,1.385,0.064619996,8.651,0.0639,1.05556,1.524,4.6457057,0.024149999,11.1,-0.111,0.0962,40.15,19.89604,10.062,2.02,4.06,,,,,,
HUM,397.5,397.9,374.43936,405.5099,397.5,409.064,397.9,0.888517,397.03,15.326609,0.7549555,397.03,403.27,431.12,208.25,403.32,405.5099,0.565,0.049629997,108.971,0.0119,0.95043,26.27,3.6948364,0.0024899999,2.63,0.945,0.0119,397.9,18.218552,7.915,22.1,1.69,0.0059119496,2.35,0.08930001,2.5,0.64,0.0063
LII,274.63,276.13,228.95836,276.6,274.63,276.33942,276.13,0.959308,266.54,30.3768,2.8576524,266.54,268.16,289.94,163.4,267.63,276.6,3.357,0.095340006,-5.984,0.0387,0.74162,8.811,,0.09827,6.95,-0.097,0.0433,276.13,26.73826,23.668,10.01,23.52,0.011215089,3.08,0.3508,3.08,1.08,0.0112
CCOI,63.82,64.65,78.40993,64.65,63.82,69.730286,64.65,0.062987,61.84,74.70446,5.4421415,61.84,62.18,92.96,53.46,62.08,64.65,6.862,0.07163,-5.148,0.020599999,0.87811995,0.829,,0.10905,1.9,0.2,0.0231,64.65,54.324562,20.055,1.14,1.21,0.040739577,2.6,3.1325,2.82,3.85,0.0442
VRSN,203.49,204.15,202.55171,206.505,203.49,207.08685,204.15,0.847268,202.88,30.385984,18.869253,202.88,204.72,221.3,148.77,200.71,206.505,18.746,0.63317,-12.176,0.0112,0.94545996,6.736,,0.013200001,2.09,0.034,0.0145000005,204.15,34.988033,27.046,5.85,3.76,,,,,,
ICLR,180.59,181.78,165.56264,181.78,180.59,186.00314,181.78,0.822742,176.18,29.548033,3.364739,176.18,,199.83,104.28,177.01,181.78,3.448,0.12027001,29.993,0.010199999,0.97207,5.996,5.907045,0.013990001,3.26,-0.48,0.010299999,181.78,22.949482,20.341,7.72,4.06,,,,,,
ENV,77.73,78.37,70.65228,78.37,77.73,81.87657,78.37,1.558528,75.885,,4.3141813,75.885,77.35,92.51,45.53,77.29,78.37,4.859,-0.01227,16.296,0.0517,0.98757005,-0.222,4.7158813,0.02708,5.23,,0.0594,78.37,29.332062,35.439,2.62,2.24,,,,,,
FISV,103.8,104.16,99.404144,104.7,103.8,99.34543,104.16,0.794314,101.91,82.338905,4.928818,101.91,103.4,125.05,73.5,102.05,104.7,5.902,0.05824,47.181,0.0176,0.94655997,1.257,2.1936796,0.00461,2.4,-0.991,0.0212,104.16,19.202227,18.799,5.39,1.37,,,,,,
NXST,102.03,101.64,80.736855,102.6,102.03,93.64886,101.64,1.781493,98.9999,13.146935,1.2059305,98.9999,101.03,133.25,43.37,100.88,102.6,3.187,0.09652001,48.145,0.074099995,1.11777,7.636,2.0851593,0.03478,9.18,0.465,0.077,101.64,8.2422,9.049,12.18,0.12,0.019798098,2.02,0.2637,2.24,1.77,0.022
